[2026/09/25 22:48:38:6574] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 22:48:38:6576] N: tty configuration:
[2026/09/25 22:48:38:6576] N:   start command: /tmp/tcc-muhyyffw/attach.sh
[2026/09/25 22:48:38:6576] N:   close signal: SIGHUP (1)
[2026/09/25 22:48:38:6577] N:   terminal type: xterm-256color
[2026/09/25 22:48:38:6577] N:   allow url arg: true
[2026/09/25 22:48:38:6577] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 22:48:52:8952] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:52:8953] N: killing process, pid: 36869
[2026/09/25 22:48:52:8953] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:52:8953] N: killing process, pid: 36883
[2026/09/25 22:48:52:8974] N: process killed with signal 0, pid: 36869
[2026/09/25 22:48:52:8975] N: process killed with signal 0, pid: 36883
[2026/09/25 22:48:52:9135] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:52:9135] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:52:9136] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:52:9136] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:52:9136] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:52:9136] N: WS   /ws - (unix skt), clients: 6
